ID,Type,Name,Artefact,Class,Length_mm,Width_mm
148,Handaxe,D_4,4,Novice,177.76,81.67
149,Handaxe,E_4,4,Novice,185.75,78.5
150,Handaxe,F_4,4,Novice,190.59,77.23
151,Handaxe,G_4,4,Novice,192.04,93.64
152,Handaxe,H_4,4,Professional,192.88,90.43
153,Handaxe,I_4,4,Novice,188.77,84.3
154,Handaxe,J_4,4,Novice,188.03,79.67
155,Handaxe,K_4,4,Novice,186.38,81.43
156,Handaxe,L_4,4,Novice,183.35,80.17
157,Handaxe,M_4,4,Novice,185.27,79.66
158,Handaxe,N_4,4,Novice,188.85,80.25
159,Handaxe,O_4,4,Novice,188,82.83
160,Handaxe,P_4,4,Intermediate,181.25,78.67
161,Handaxe,Q_4,4,Intermediate,196.55,85.96
162,Handaxe,R_4,4,Photograph,192.63,88.03
163,Handaxe,A_5,5,Novice,182.01,79.58
164,Handaxe,B_5,5,Novice,183.01,83.85
165,Handaxe,C_5,5,Intermediate,180.41,79.75
166,Handaxe,D_5,5,Novice,172.88,81.6
167,Handaxe,E_5,5,Novice,180.17,79
168,Handaxe,F_5,5,Novice,177.98,76.05
169,Handaxe,G_5,5,Novice,183.23,83.4
170,Handaxe,H_5,5,Professional,186.37,89.77
171,Handaxe,I_5,5,Novice,180.16,81.93
172,Handaxe,J_5,5,Novice,181.42,82.76
173,Handaxe,K_5,5,Novice,182.52,85.21
174,Handaxe,L_5,5,Novice,178.91,80.25
175,Handaxe,M_5,5,Novice,179.83,77.98
176,Handaxe,N_5,5,Novice,179,72.08
177,Handaxe,O_5,5,Novice,180.41,78.06
178,Handaxe,P_5,5,Intermediate,178.91,81.91
179,Handaxe,Q_5,5,Intermediate,181.25,82.08
180,Handaxe,R_5,5,Photograph,186.75,88.06
181,Tanged,A_1,1,Novice,84.35,24.43
182,Tanged,B_1,1,Novice,85.1,20.67
183,Tanged,C_1,1,Intermediate,83.76,22.09
184,Tanged,D_1,1,Novice,83.6,22.51
185,Tanged,E_1,1,Novice,85.73,24.75
186,Tanged,F_1,1,Novice,81.38,21.21
187,Tanged,G_1,1,Novice,85.71,24.71
188,Tanged,H_1,1,Professional,87.41,24.2
189,Tanged,I_1,1,Novice,83.78,21.43
190,Tanged,J_1,1,Novice,82.92,22.08
191,Tanged,K_1,1,Novice,82.18,22.51
192,Tanged,L_1,1,Novice,84.35,23.01
193,Tanged,M_1,1,Novice,85.71,24.2
194,Tanged,N_1,1,Novice,85.84,23.81
195,Tanged,O_1,1,Novice,83.84,22.26
196,Tanged,P_1,1,Intermediate,83.92,22
197,Tanged,Q_1,1,Intermediate,84.54,23.19
198,Tanged,R_1,1,Photograph,87.12,22.48
199,Tanged,A_2,2,Novice,107.22,36.47
200,Tanged,B_2,2,Novice,105.08,37.17
201,Tanged,C_2,2,Intermediate,105.35,37.24
202,Tanged,D_2,2,Novice,104.77,36.9
203,Tanged,E_2,2,Novice,106.33,36.63
204,Tanged,F_2,2,Novice,101.13,35.47
205,Tanged,G_2,2,Novice,108.62,38.66
206,Tanged,H_2,2,Professional,108.2,39.49
207,Tanged,I_2,2,Novice,104.27,35.48
208,Tanged,J_2,2,Novice,104.43,35.98
209,Tanged,K_2,2,Novice,106.66,35.92
210,Tanged,L_2,2,Novice,108.23,37.48
211,Tanged,M_2,2,Novice,105.92,36
212,Tanged,N_2,2,Novice,107.71,37.97
213,Tanged,O_2,2,Novice,105.08,36.67
214,Tanged,P_2,2,Intermediate,106.28,35.98
215,Tanged,Q_2,2,Intermediate,105.27,36.4
216,Tanged,R_2,2,Photograph,107.92,37.51
217,Tanged,A_3,3,Novice,89.93,28.32
218,Tanged,B_3,3,Novice,88.45,28.87
